state,prob,load
c,0,872907.1537290715
c,0,872907.1537290715
c,0,872907.1537290715
c,3.2938062000109625e-16,872907.1537290715
c,0,872907.1537290715
c,0,872907.1537290715
c,1.1102230246251565e-16,872907.1537290715
c,2.3418766925686896e-16,872907.1537290715
t,0.04972619932224786,654680.3652968036
t,0.002257331843388865,654680.3652968036
t,9.154805337120231e-05,654680.3652968036
t,3.2652626565589545e-06,654680.3652968036
t,1.003364804115156e-07,654680.3652968036
t,2.5825471639678854e-09,654680.3652968036
t,5.3452543606613556e-11,654680.3652968036
t,8.33969178437588e-13,654680.3652968036
t,8.609432611272894e-15,654680.3652968036
t,0,654680.3652968036
t,8.89911685298863e-05,654680.3652968036
c,5.925120820404403e-06,654680.3652968036
c,2.750298011475454e-07,654680.3652968036
c,1.035649322723986e-08,654680.3652968036
c,3.254135242519718e-10,654680.3652968036
c,8.451058863129246e-12,654680.3652968036
c,1.752977103752773e-13,654680.3652968036
c,2.767642885703747e-15,654680.3652968036
c,0,654680.3652968036
c,0,654680.3652968036
c,4.6600403382933767e-05,654680.3652968036
c,1.9646220645493095e-06,654680.3652968036
c,3.6009217170562824e-08,654680.3652968036
c,5.641990347138304e-10,654680.3652968036
c,7.362870729776816e-12,654680.3652968036
c,7.681355551625302e-14,654680.3652968036
c,3.7990444123892075e-16,654680.3652968036
c,0,654680.3652968036
c,0,654680.3652968036
c,2.2247849032633674e-06,654680.3652968036
c,4.130949046504337e-08,654680.3652968036
c,4.3582297471443654e-10,654680.3652968036
c,3.819289936396464e-12,654680.3652968036
c,2.6588106716296522e-14,654680.3652968036
c,1.7954387976359953e-16,654680.3652968036
c,0,654680.3652968036
c,0,654680.3652968036
c,7.68640110934693e-08,654680.3652968036
c,8.165928731818095e-10,654680.3652968036
c,5.3952623618735984e-12,654680.3652968036
c,2.812680643948795e-14,654680.3652968036
c,2.6020852139652106e-17,654680.3652968036
c,1.3964523981613297e-16,654680.3652968036
c,4.5102810375396984e-17,654680.3652968036
c,2.105159317700167e-09,654680.3652968036
c,1.3963795397753387e-11,654680.3652968036
c,5.953570969552402e-14,654680.3652968036
c,5.984795992119984e-16,654680.3652968036
c,0,654680.3652968036
c,0,654680.3652968036
c,4.5234285067641267e-11,654680.3652968036
c,1.9151607383305347e-13,654680.3652968036
c,4.3194614551822497e-16,654680.3652968036
c,0,654680.3652968036
c,8.326672684688674e-17,654680.3652968036
c,7.229575011563627e-13,654680.3652968036
c,1.5057399771478686e-15,654680.3652968036
c,0,654680.3652968036
