scale,throughput,load,collision,lost
0.0033,42426.353,793551.96,99.074542,0
0.0033,52182.384,793551.96,98.438962,0
0.0033,46740.596,793551.96,96.400159,0
0.0033,57903.067,793551.96,97.14019,0
0.0033,53993.935,793551.96,93.207881,0
0.0033,38616.765,793551.96,95.733211,0
0.0033,57184.476,793551.96,97.768724,0
0.0033,54781.822,793551.96,98.107902,0
0.0033,46045.334,793551.96,97.779152,0
0.0033,60158.106,793551.96,97.275102,0
0.0033,40812.202,793551.96,96.464279,0
0.0033,48563.496,793551.96,94.575046,0
0.0033,59828.161,793551.96,96.390859,0
0.0033,28383.112,793551.96,98.930425,0
0.0033,43368.119,793551.96,97.976199,0
0.0033,40994.19,793551.96,96.275343,0
0.0033,45302.799,793551.96,97.55076,0
0.0033,40728.761,793551.96,97.560635,0
0.0033,41458.187,793551.96,98.416145,0
0.0033,39147.915,793551.96,97.510269,0
0.0033,40483.732,793551.96,95.989774,0
0.0033,48901.403,793551.96,96.801716,0
0.0033,56305.584,793551.96,96.11234,0
0.0033,55947.169,793551.96,97.185686,0
0.0033,41612.646,793551.96,96.925096,0
0.0033,59910.794,793551.96,97.742206,0
0.0033,38400.208,793551.96,97.884127,0
0.0033,47740.006,793551.96,96.84739,0
0.0033,49648.275,793551.96,96.822054,0
0.0033,53694.839,793551.96,95.950869,0
0.0033,40689.983,793551.96,95.889736,0
0.0033,41770.822,793551.96,98.720631,0
0.0033,45208.318,793551.96,97.471241,0
0.0033,44120.381,793551.96,96.007089,0
0.0033,36902.437,793551.96,97.829714,0
0.0033,48172.723,793551.96,97.337127,0
0.0033,45645.321,793551.96,97.243454,0
0.0033,54913.801,793551.96,96.740027,0
0.0033,47805.586,793551.96,97.431667,0
0.0033,48224.574,793551.96,97.30053,0
0.0033,41796.751,793551.96,98.3434,0
0.0033,42658.964,793551.96,98.197522,0
0.0033,46896.326,793551.96,97.767692,0
0.0033,37753.012,793551.96,95.267576,0
0.0033,43447.733,793551.96,97.559292,0
0.0033,50715.767,793551.96,98.494253,0
0.0033,68827.489,793551.96,96.76201,0
0.0033,46383.077,793551.96,97.75104,0
0.0033,58058.582,793551.96,97.472481,0
0.0033,39052.456,793551.96,97.815242,0
0.0033,38275.89,793551.96,98.97616,0
0.0033,39246.7,793551.96,97.708153,0
0.0033,54630.496,793551.96,97.611687,0
0.0033,45681.103,793551.96,97.189824,0
0.0033,51365.964,793551.96,97.09985,0
0.0033,52276.063,793551.96,96.964476,0
0.0033,52231.469,793551.96,96.774615,0
0.0033,32552.728,793551.96,96.603704,0
0.0033,50760.967,793551.96,97.840891,0
