node,scale,throughput,load,collision,lost
0,0.003,39102.968,872907.15,93.103448,0
1,0.003,23208.569,872907.15,80.555556,0
2,0.003,0,872907.15,97.260274,0
3,0.003,43562.788,872907.15,100,0
4,0.003,7930.024,872907.15,96.363636,0
5,0.003,141790.4,872907.15,100,0
6,0.003,144877.79,872907.15,98.113208,0
7,0.003,60905.626,872907.15,94.285714,0
8,0.003,2640.0699,872907.15,98.611111,0
9,0.003,4247.1756,872907.15,100,0
0,0.003,0,872907.15,94.444444,0
1,0.003,42894.826,872907.15,94.594595,0
2,0.003,16087.501,872907.15,100,0
3,0.003,37856.123,872907.15,98.076923,0
4,0.003,7813.6989,872907.15,96.296296,0
5,0.003,60991.712,872907.15,98.888889,0
6,0.003,76551.934,872907.15,96.078431,0
7,0.003,9627.6549,872907.15,94.444444,0
8,0.003,61055.378,872907.15,98.529412,0
9,0.003,69870.376,872907.15,98.648649,0
0,0.003,26285.548,872907.15,94.444444,0
1,0.003,0,872907.15,93.939394,0
2,0.003,20990.636,872907.15,100,0
3,0.003,24879.304,872907.15,96.226415,0
4,0.003,0,872907.15,95.555556,0
5,0.003,4325.8384,872907.15,100,0
6,0.003,127908.86,872907.15,95.652174,0
7,0.003,16543.727,872907.15,90.909091,0
8,0.003,84003.41,872907.15,98.507463,0
9,0.003,231921.24,872907.15,100,0
0,0.003,-10737.015,872907.15,94.444444,0
1,0.003,21786.222,872907.15,96.969697,0
2,0.003,20547.058,872907.15,100,0
3,0.003,14591.389,872907.15,98.148148,0
4,0.003,4380.2985,872907.15,97.959184,0
5,0.003,28742.827,872907.15,100,0
6,0.003,45829.834,872907.15,100,0
7,0.003,27592.999,872907.15,100,0
8,0.003,177891.99,872907.15,100,0
9,0.003,90005.048,872907.15,98.507463,0
0,0.003,18204.842,872907.15,97.5,0
1,0.003,36659.508,872907.15,94.594595,0
2,0.003,51292.284,872907.15,97.402597,0
3,0.003,79150.904,872907.15,96.153846,0
4,0.003,6707.6127,872907.15,96.721311,0
5,0.003,12645.878,872907.15,98.969072,0
6,0.003,53975.195,872907.15,98.4375,0
7,0.003,38905.9,872907.15,90.243902,0
8,0.003,78891.68,872907.15,97.435897,0
9,0.003,136902.99,872907.15,100,0
0,0.003,17562.999,872907.15,92.682927,0
1,0.003,0,872907.15,95,0
2,0.003,0,872907.15,100,0
3,0.003,95340.48,872907.15,98.387097,0
4,0.003,9210.0288,872907.15,100,0
5,0.003,55329.931,872907.15,100,0
6,0.003,21360.999,872907.15,96.153846,0
7,0.003,59178.732,872907.15,100,0
8,0.003,45792.091,872907.15,100,0
9,0.003,114222.05,872907.15,100,0
0,0.003,19838.923,872907.15,93.939394,0
1,0.003,38404.918,872907.15,100,0
2,0.003,45332.316,872907.15,97.142857,0
3,0.003,65335.972,872907.15,98.113208,0
4,0.003,43439.494,872907.15,98.039216,0
5,0.003,40704.414,872907.15,100,0
6,0.003,56788.85,872907.15,94.444444,0
7,0.003,27401.069,872907.15,100,0
8,0.003,147495,872907.15,100,0
9,0.003,30070.331,872907.15,98.666667,0
0,0.003,44870.628,872907.15,96.969697,0
1,0.003,0,872907.15,100,0
2,0.003,15412.256,872907.15,100,0
3,0.003,93581.453,872907.15,100,0
4,0.003,0,872907.15,100,0
5,0.003,103309.49,872907.15,100,0
6,0.003,68767.607,872907.15,97.87234,0
7,0.003,65438.623,872907.15,97.058824,0
8,0.003,83857.957,872907.15,98.484848,0
9,0.003,12360.687,872907.15,100,0
0,0.003,34270.984,872907.15,90,0
1,0.003,313.08532,872907.15,93.333333,0
2,0.003,22983.309,872907.15,100,0
3,0.003,107053.04,872907.15,100,0
4,0.003,0,872907.15,100,0
5,0.003,21504.218,872907.15,100,0
6,0.003,107381.94,872907.15,100,0
7,0.003,29961.317,872907.15,94.594595,0
8,0.003,7770.2085,872907.15,100,0
9,0.003,56096.826,872907.15,100,0
0,0.003,21779.149,872907.15,94.594595,0
1,0.003,6260.5362,872907.15,100,0
2,0.003,45230.906,872907.15,100,0
3,0.003,34501.467,872907.15,100,0
4,0.003,8619.8853,872907.15,100,0
5,0.003,35724.288,872907.15,100,0
6,0.003,138281.5,872907.15,100,0
7,0.003,41768.23,872907.15,94.871795,0
8,0.003,35975.179,872907.15,100,0
9,0.003,3610.6732,872907.15,100,0
0,0.003,17265.683,872907.15,84.848485,0
1,0.003,39719.516,872907.15,92.592593,0
2,0.003,46205.911,872907.15,100,0
3,0.003,169254.37,872907.15,100,0
4,0.003,0,872907.15,100,0
5,0.003,3252.8498,872907.15,100,0
6,0.003,62836.95,872907.15,100,0
7,0.003,22024.303,872907.15,97.297297,0
8,0.003,23906.516,872907.15,100,0
9,0.003,116615.15,872907.15,100,0
0,0.003,24722.698,872907.15,97.058824,0
1,0.003,78391.783,872907.15,93.75,0
2,0.003,11234.865,872907.15,100,0
3,0.003,115481.38,872907.15,94.230769,0
4,0.003,0,872907.15,100,0
5,0.003,67059.506,872907.15,100,0
6,0.003,145170.15,872907.15,100,0
7,0.003,0,872907.15,87.096774,0
8,0.003,32418.256,872907.15,100,0
9,0.003,85817.584,872907.15,98.529412,0
0,0.003,34132.671,872907.15,94.594595,0
1,0.003,-4443.2293,872907.15,93.023256,0
2,0.003,39790.744,872907.15,98.717949,0
3,0.003,75805.104,872907.15,100,0
4,0.003,10449.897,872907.15,96.666667,0
5,0.003,100287.8,872907.15,99.009901,0
6,0.003,73470.061,872907.15,100,0
7,0.003,58477.232,872907.15,94.444444,0
